Tijdstempel,gender,age,hours_spend,system,money_spend,price_importance,network_type,game_type,familiar,cloud_services,strong_connection,latency,stream_thougts,subscription_thoughts,monthly_subscription,interest,reasons,future,try_it
2021/12/03 12:44:47 p.m. CET,Male,21,4 to 6 hours,Windows/Microsoft,€21 to €40,Very important,I don't know,Singleplayer,Not familiar,I don't know any services,It is all right for german standart ;),No,"I don't like it, and I would rather have personal ownership of gaming hardware/console.","I don't like it, and would rather purchase them on an online account then being attached to a subscription.",Reasonable,Moderately interested,I'm not interested in buying new hardware at the moment,Yes,Slightly
2021/12/04 2:56:39 p.m. CET,Male,24,More than 10 hours,Windows/Microsoft,€21 to €40,Very important,Wired connection,Singleplayer;Online Co-op;Online multiplayer,Moderately familiar,"Stadia, GeForce Now",Yes,No,"I don't mind it, but I prefer having my own games and pc.","I don't like it, and would rather purchase them on an online account then being attached to a subscription.",Reasonable,Slightly interested,Hardware is at scarcity and want to play video games soon,I'm not sure,Slightly
2021/12/05 4:51:44 p.m. CET,Male,20,More than 10 hours,Windows/Microsoft,€0 to €20,Super important,Wired connection,Singleplayer;Online Co-op;Online multiplayer,Not familiar,Stadia,No,Yes,I expect latency; Probably good for Singleplayer Games but rather bad competitively.,"I don't like it, and would rather purchase them on an online account then being attached to a subscription.",Somewhat expensive,Not interested,It serves a need of mine that is not currently being met;I'm not interested in buying new hardware at the moment;Hardware is at scarcity and want to play video games soon;Probably exclusives? Don't know of any right now.,Yes,Slightly
2021/12/05 6:36:19 p.m. CET,Male,16,More than 10 hours,Windows/Microsoft,€21 to €40,Super important,Wired connection,Online Co-op;Online multiplayer,Somewhat familiar,"GeForce Now, Stadia",Yes,No,"I don't like it, and I would rather have personal ownership of gaming hardware/console.","I don't like it, and would rather purchase them on an online account then being attached to a subscription.",Somewhat expensive,Slightly interested,"I don't have a reason, and I don't need it",Yes,Slightly
2021/12/06 2:04:47 p.m. CET,Male,19,0 hours,Windows/Microsoft,€0 to €20,Not important,Wired connection,Online multiplayer,Super familiar,Stadia,Yes,No,Can't edit memory so meh,"I don't like it, and would rather purchase them on an online account then being attached to a subscription.",Reasonable,Slightly interested,"I don't have a reason, and I don't need it",I'm not sure,Somewhat likely
2021/12/06 11:47:10 a.m. CET,Male,22,7 to 10 hours,Windows/Microsoft,€21 to €40,Somewhat important,Wired connection,Singleplayer;Online Co-op;Online multiplayer,Somewhat familiar,"Stadia, Luna",No,No,"I don't like it, and I would rather have personal ownership of gaming hardware/console.","I don't like it, and would rather purchase them on an online account then being attached to a subscription.",Somewhat expensive,Slightly interested,"I don't have a reason, and I don't need it",Yes,Super likely
2021/12/03 6:56:42 p.m. CET,Male,23,More than 10 hours,Windows/Microsoft;Linux/Ubuntu,€0 to €20,Super important,Wired connection,Singleplayer;Online Co-op;Online multiplayer,Moderately familiar,"Netflix Games, Stadia, GeForce Now, Shadow",Good download but bad upload,No,"Until I am sure that I will always have a solid internet connection, I like to own my computer physically.","I don't like it, and would rather purchase them on an online account then being attached to a subscription.",Reasonable,Slightly interested,I'm not interested in buying new hardware at the moment;Hardware is at scarcity and want to play video games soon,Yes,Slightly
2021/12/02 12:05:01 p.m. CET,Male,20,4 to 6 hours,Windows/Microsoft;Mac/Apple,€0 to €20,Super important,Wired connection,Singleplayer;Online Co-op;Online multiplayer,Moderately familiar,"Stadia, GeForce Now",Yes,No,"I don't like it, and I would rather have personal ownership of gaming hardware/console.","I don't like it, and would rather purchase them on an online account then being attached to a subscription.",Reasonable,Slightly interested,"I don't have a reason, and I don't need it",No,Not likely
2021/12/03 12:29:49 a.m. CET,Male,31,More than 10 hours,Windows/Microsoft;PlayStation,€0 to €20,Somewhat important,Wired connection,Singleplayer;Online Co-op;Online multiplayer,Somewhat familiar,I don't know any services,Yes,depends on how the game is constructed and how far away the other players in the multiplayer are that you are connected with... Solo play in online worlds is usually not a problem at all,"I don't like it, and I would rather have personal ownership of gaming hardware/console.","I don't like it, and would rather purchase them on an online account then being attached to a subscription.",Too expensive,Not interested,"I don't have a reason, and I don't need it",I'm not sure,Not likely
2021/12/02 11:55:09 a.m. CET,Male,20,7 to 10 hours,Windows/Microsoft;PlayStation,€0 to €20,Important,Wireless connection (great range with low data rate),Singleplayer;Online Co-op;Online multiplayer,Moderately familiar,"Stadia, GeForce Now",Moderate 40/40,No,"I don't like it, and I would rather have personal ownership of gaming hardware/console.","I don't like it, and would rather purchase them on an online account then being attached to a subscription.",Reasonable,Slightly interested,"I don't have a reason, and I don't need it",Yes,Slightly
2021/12/02 11:59:45 a.m. CET,Male,19,0 hours,nothing,€0 to €20,Not important,I don't know,Singleplayer,Not familiar,I don't know any services,No,No,no,no,Too expensive,Not interested,no,No,Not likely
